Income,Credit_Score,Employment_Status,Loan_Amount,Repayment_History,Age,Loan_Status
43779,686,Self-Employed,54667,8,55,Approved
109147,765,Salaried,40312,3,56,Approved
50608,653,Salaried,63071,9,40,Approved
58594,706,Salaried,9337,5,33,Rejected
123058,606,Salaried,23066,2,37,Approved
143352,714,Salaried,79760,3,51,Approved
107210,680,Salaried,41168,8,59,Approved
139126,624,Salaried,46135,9,49,Approved
131045,662,Salaried,56670,4,44,Approved
82518,666,Self-Employed,46633,1,50,Approved
120138,660,Salaried,77071,2,24,Approved
62687,813,Self-Employed,28309,1,48,Approved
79865,673,Salaried,77052,7,22,Approved
89607,662,Salaried,24895,5,64,Approved
144865,523,Salaried,40206,4,61,Rejected
130313,613,Salaried,60843,7,43,Approved
83603,660,Salaried,89168,9,37,Approved
104837,629,Salaried,27092,8,53,Approved
46306,784,Salaried,60802,1,49,Approved
124571,668,Salaried,11099,6,52,Approved
91895,777,Salaried,12165,9,44,Approved
89254,685,Salaried,77913,8,31,Approved
119617,683,Self-Employed,73301,3,24,Approved
102279,673,Salaried,40764,4,33,Approved
29420,680,Unemployed,64183,9,44,Approved
57460,809,Self-Employed,41122,0,40,Rejected
42973,506,Unemployed,31338,5,43,Rejected
115536,530,Self-Employed,45975,1,33,Rejected
24569,639,Salaried,34626,9,63,Approved
46312,681,Salaried,82430,0,37,Rejected
97668,732,Salaried,44109,0,59,Approved
110324,715,Self-Employed,35479,3,38,Approved
85430,651,Salaried,55935,2,40,Approved
131894,756,Salaried,77014,5,48,Approved
139463,757,Unemployed,30998,3,32,Approved
37173,694,Salaried,94257,3,30,Approved
143827,752,Salaried,49036,6,38,Approved
99869,700,Self-Employed,67783,6,57,Approved
102709,638,Salaried,95938,10,27,Approved
32362,732,Salaried,46010,5,40,Approved
100843,688,Self-Employed,23983,6,51,Approved
114343,680,Salaried,76040,7,52,Approved
95503,790,Salaried,5628,1,40,Approved
30984,496,Salaried,48500,7,24,Rejected
88020,574,Self-Employed,98100,9,21,Approved
141673,591,Salaried,44371,3,42,Rejected
114044,653,Unemployed,69989,1,57,Rejected
37863,661,Self-Employed,54902,3,22,Rejected
144792,567,Salaried,25394,3,60,Approved
144655,606,Salaried,35183,6,51,Approved
42021,615,Salaried,54736,9,21,Approved
124115,850,Self-Employed,14903,6,36,Approved
72873,815,Salaried,44415,1,30,Approved
97179,649,Salaried,44411,3,63,Rejected
77874,653,Salaried,84317,7,45,Approved
121741,594,Unemployed,16766,3,35,Approved
149566,537,Salaried,85056,6,33,Approved
123365,671,Self-Employed,43992,7,46,Approved
141079,605,Salaried,66878,3,21,Approved
142984,674,Unemployed,57909,7,32,Approved
31713,560,Salaried,33479,4,28,Approved
52940,623,Salaried,93418,1,48,Approved
113842,691,Unemployed,26324,4,51,Approved
96710,707,Unemployed,8441,4,42,Approved
26519,711,Salaried,76262,0,27,Rejected
32356,581,Salaried,64039,9,37,Rejected
87671,744,Salaried,89602,5,58,Approved
100102,620,Salaried,48485,0,30,Rejected
41803,727,Salaried,6599,9,28,Approved
42268,679,Self-Employed,6924,9,26,Approved
36814,577,Salaried,46159,0,57,Rejected
93444,656,Self-Employed,28707,1,26,Approved
21020,707,Salaried,92608,4,47,Rejected
94416,726,Salaried,16256,5,65,Rejected
81871,669,Self-Employed,88678,7,49,Rejected
80578,795,Salaried,25595,4,39,Approved
108306,756,Self-Employed,16343,6,30,Approved
87942,661,Salaried,31084,0,21,Approved
114608,736,Unemployed,18693,7,28,Approved
119310,825,Self-Employed,43124,10,63,Approved
139616,827,Self-Employed,36393,5,27,Approved
123902,588,Salaried,55259,5,21,Approved
87302,611,Salaried,56021,3,57,Rejected
83980,791,Salaried,5094,10,39,Approved
50642,601,Salaried,16862,0,37,Rejected
97947,581,Salaried,20377,3,53,Approved
38087,644,Salaried,23498,1,44,Rejected
141061,712,Salaried,13888,9,62,Approved
129856,672,Salaried,34890,5,42,Approved
35565,631,Salaried,57219,10,53,Approved
122175,629,Salaried,34345,7,60,Approved
35223,627,Salaried,36262,6,41,Approved
113759,614,Self-Employed,49608,5,33,Approved
31402,850,Salaried,57098,2,64,Approved
83465,702,Salaried,36442,6,31,Approved
105522,747,Salaried,26073,7,22,Approved
114746,643,Self-Employed,43891,10,47,Approved
74419,666,Salaried,7301,6,65,Approved
139811,626,Salaried,51794,10,24,Approved
120662,481,Unemployed,94430,10,59,Approved
47074,577,Salaried,42804,5,58,Rejected
107260,544,Unemployed,15289,4,62,Approved
114970,511,Self-Employed,72173,1,39,Rejected
63373,590,Salaried,17051,2,32,Approved
115970,779,Salaried,23395,9,44,Approved
136788,677,Self-Employed,18922,1,27,Approved
126225,777,Unemployed,88949,4,58,Approved
119129,711,Salaried,98222,7,50,Rejected
102485,739,Salaried,59116,2,42,Approved
55169,612,Salaried,63678,10,44,Approved
123379,719,Salaried,66319,7,53,Approved
67345,735,Self-Employed,62978,0,44,Approved
89186,637,Salaried,56690,2,58,Approved
60877,722,Self-Employed,98737,8,62,Approved
60692,722,Self-Employed,74648,9,63,Approved
40489,639,Self-Employed,13401,10,48,Approved
144969,596,Self-Employed,42234,9,54,Approved
39211,591,Self-Employed,97578,0,34,Rejected
31213,686,Self-Employed,43348,8,22,Approved
141697,705,Self-Employed,24381,1,39,Approved
92152,621,Salaried,87507,0,60,Rejected
76927,682,Salaried,64192,7,27,Approved
115874,723,Salaried,58444,5,45,Approved
69831,726,Self-Employed,44908,7,29,Approved
36629,796,Self-Employed,16815,9,40,Approved
114859,776,Salaried,41475,0,27,Approved
42880,605,Salaried,46560,5,54,Rejected
91889,806,Salaried,93469,9,57,Approved
143379,640,Self-Employed,34191,4,55,Approved
141699,758,Salaried,19176,5,52,Approved
66902,685,Salaried,45615,5,31,Approved
121439,649,Self-Employed,99722,9,44,Approved
99648,544,Self-Employed,50809,0,25,Rejected
82318,667,Salaried,41017,9,37,Approved
38190,563,Salaried,68354,8,43,Approved
68927,753,Unemployed,66634,8,51,Approved
104750,794,Self-Employed,33432,4,25,Approved
148263,620,Self-Employed,96952,5,57,Approved
20635,703,Salaried,61330,4,41,Rejected
113309,626,Salaried,10472,2,60,Rejected
130024,633,Salaried,43719,9,44,Approved
143656,738,Self-Employed,92673,5,45,Approved
75094,677,Salaried,42369,7,52,Approved
35402,810,Salaried,58942,1,57,Approved
55226,644,Self-Employed,63200,8,28,Approved
130570,755,Unemployed,71918,7,44,Approved
134132,687,Self-Employed,87870,10,22,Approved
102820,740,Salaried,19172,1,42,Approved
35956,646,Salaried,54091,5,57,Rejected
35849,676,Salaried,55672,5,59,Approved
82162,671,Salaried,19477,5,33,Approved
96474,617,Salaried,68984,0,38,Rejected
24209,730,Salaried,16224,5,45,Approved
109193,729,Salaried,48343,3,38,Approved
90786,725,Self-Employed,36373,6,29,Approved
21599,795,Unemployed,19723,2,34,Approved
32438,789,Salaried,83121,4,39,Approved
79061,652,Salaried,28191,6,44,Rejected
113936,708,Salaried,29248,0,62,Approved
127302,633,Salaried,86168,8,45,Approved
76069,682,Salaried,88350,7,38,Approved
58396,635,Salaried,8274,0,50,Rejected
145881,802,Self-Employed,31398,0,55,Approved
79611,707,Salaried,72342,9,40,Approved
61000,664,Unemployed,78923,3,43,Rejected
77501,770,Salaried,99943,9,30,Approved
21571,517,Salaried,57693,5,59,Rejected
59250,529,Salaried,5710,3,60,Rejected
87022,740,Salaried,87995,3,28,Approved
139398,685,Salaried,20299,7,36,Approved
115970,699,Unemployed,16475,1,33,Rejected
121569,581,Salaried,69044,4,62,Approved
90837,678,Salaried,62363,3,23,Approved
34376,830,Salaried,10699,1,30,Approved
70820,742,Salaried,21081,3,35,Approved
149615,693,Salaried,61030,5,46,Approved
25742,647,Salaried,29258,7,32,Approved
134296,650,Self-Employed,69980,0,45,Rejected
108985,520,Salaried,44117,9,54,Approved
56908,699,Salaried,60874,9,58,Approved
121139,743,Self-Employed,50121,7,25,Approved
128797,562,Self-Employed,39692,10,27,Approved
25618,630,Salaried,37528,4,25,Approved
33834,593,Salaried,71242,9,61,Approved
106548,608,Salaried,53867,7,50,Approved
149884,684,Salaried,61458,6,44,Approved
23115,524,Salaried,59844,1,56,Rejected
106539,726,Self-Employed,24725,6,47,Approved
37748,737,Salaried,91757,9,31,Approved
104516,661,Self-Employed,58498,10,43,Approved
101031,494,Salaried,73216,4,52,Rejected
31757,605,Self-Employed,88782,2,22,Approved
108495,772,Self-Employed,92848,8,48,Approved
136615,472,Salaried,68349,0,43,Rejected
132248,654,Salaried,79776,1,24,Approved
23769,591,Salaried,49820,6,32,Rejected
51969,740,Self-Employed,75091,10,41,Approved
51307,629,Salaried,35550,3,36,Approved
78928,710,Salaried,72620,4,34,Approved
38592,722,Salaried,13159,3,50,Approved
131065,818,Self-Employed,91857,4,39,Approved
120980,665,Salaried,28239,0,43,Approved
125086,708,Salaried,67374,6,56,Approved
45766,569,Unemployed,6062,6,25,Rejected
21894,769,Salaried,19793,3,37,Approved
138383,623,Self-Employed,98730,2,24,Rejected
57558,638,Salaried,84170,8,62,Approved
105315,678,Salaried,26136,2,29,Approved
138227,563,Self-Employed,17430,0,57,Rejected
24701,697,Self-Employed,82414,0,29,Rejected
20711,753,Self-Employed,99067,9,35,Approved
20705,702,Salaried,21021,4,48,Approved
40322,561,Salaried,68075,1,58,Rejected
26715,671,Salaried,31942,9,29,Approved
126598,736,Salaried,75717,1,30,Rejected
98770,539,Salaried,44736,3,60,Rejected
147407,599,Salaried,16908,0,35,Approved
124193,746,Salaried,35818,7,30,Approved
145215,700,Salaried,56169,7,54,Approved
51012,711,Salaried,80844,8,25,Approved
57414,819,Salaried,6997,2,60,Approved
130423,715,Self-Employed,95981,3,60,Approved
51835,729,Self-Employed,66712,10,59,Approved
27440,850,Salaried,88153,9,34,Approved
106987,664,Self-Employed,93356,0,26,Rejected
124126,620,Self-Employed,19590,7,40,Approved
145866,712,Salaried,13904,8,36,Approved
140614,713,Salaried,78786,6,64,Approved
35630,640,Salaried,22849,7,49,Rejected
120374,603,Salaried,19055,0,63,Approved
129997,850,Self-Employed,49509,0,54,Approved
110756,705,Unemployed,91772,0,53,Approved
126574,625,Salaried,80583,1,26,Rejected
128938,749,Self-Employed,54198,10,24,Approved
78051,672,Salaried,23663,6,23,Approved
25219,661,Salaried,36956,8,47,Approved
79305,722,Self-Employed,70407,3,30,Approved
46231,583,Salaried,19917,10,65,Approved
34784,706,Salaried,54819,2,26,Approved
36240,823,Salaried,6121,9,63,Approved
110659,715,Unemployed,35883,0,51,Approved
85589,652,Salaried,28555,0,25,Rejected
90179,642,Salaried,69703,0,23,Rejected
116875,649,Salaried,91832,8,38,Approved
91275,661,Salaried,18915,2,36,Approved
101902,652,Salaried,80740,4,35,Approved
31183,749,Self-Employed,67313,5,44,Approved
130647,550,Self-Employed,97131,8,26,Approved
78341,745,Self-Employed,91594,3,26,Approved
40177,652,Self-Employed,14572,0,52,Rejected
125733,708,Salaried,75606,4,65,Approved
115501,595,Salaried,61257,3,33,Approved
26893,780,Salaried,15743,8,62,Approved
45095,773,Salaried,29429,8,36,Approved
22047,752,Unemployed,93060,1,36,Rejected
55198,566,Self-Employed,56580,8,25,Approved
32997,742,Unemployed,37154,0,40,Rejected
112288,710,Salaried,35443,6,43,Approved
87932,560,Salaried,84598,4,50,Rejected
147427,678,Salaried,31929,3,28,Approved
117425,707,Salaried,20094,5,29,Approved
99501,722,Salaried,59515,3,40,Approved
86211,693,Salaried,99289,8,24,Approved
27085,702,Salaried,22415,10,27,Approved
29126,791,Unemployed,29255,8,49,Approved
100120,772,Salaried,49568,4,63,Approved
20569,465,Salaried,23982,5,46,Rejected
25505,656,Self-Employed,66827,4,27,Rejected
48487,668,Salaried,29094,8,65,Rejected
134939,549,Unemployed,17177,6,44,Rejected
79661,687,Self-Employed,29820,5,53,Approved
112245,774,Salaried,93407,4,29,Approved
73503,599,Self-Employed,93815,4,47,Rejected
42506,705,Self-Employed,53044,6,24,Rejected
68250,611,Self-Employed,43043,7,49,Rejected
31923,630,Self-Employed,82855,4,30,Approved
120133,791,Self-Employed,23455,8,61,Approved
43859,639,Salaried,67121,9,23,Approved
68929,715,Salaried,69605,4,50,Rejected
147404,540,Self-Employed,72450,9,27,Approved
96955,820,Unemployed,25705,1,51,Rejected
79613,725,Salaried,73033,10,43,Approved
90592,666,Self-Employed,63139,3,64,Approved
121931,723,Salaried,88135,6,50,Approved
53082,574,Self-Employed,21567,3,37,Approved
102733,769,Unemployed,63293,4,24,Approved
133450,656,Salaried,83816,3,47,Approved
94414,665,Salaried,31430,7,40,Approved
78050,643,Salaried,75659,0,23,Rejected
38867,636,Salaried,14453,9,47,Approved
52277,732,Salaried,73220,9,30,Approved
142984,699,Salaried,62594,6,31,Approved
90364,729,Salaried,23292,6,21,Approved
59174,679,Salaried,11303,7,37,Approved
74388,718,Salaried,75822,2,30,Rejected
95142,649,Self-Employed,27923,8,24,Approved
89881,847,Self-Employed,52257,2,40,Approved
110971,562,Self-Employed,10767,7,30,Rejected
53474,775,Self-Employed,96532,3,27,Approved
104400,783,Self-Employed,57144,8,42,Approved
77548,616,Salaried,93501,8,23,Approved
142278,847,Self-Employed,20232,2,65,Approved
40530,755,Salaried,24550,6,42,Approved
39297,753,Salaried,62989,5,65,Approved
80016,682,Salaried,62427,3,60,Approved
86086,664,Self-Employed,80132,6,65,Approved
109814,664,Self-Employed,93166,10,45,Approved
72524,709,Salaried,83079,0,40,Rejected
138783,785,Salaried,18321,10,53,Approved
81642,694,Salaried,34406,9,24,Approved
36813,612,Self-Employed,91814,5,58,Rejected
35498,742,Self-Employed,57151,6,35,Approved
146543,749,Salaried,87367,4,21,Approved
37432,729,Salaried,58486,1,31,Approved
143221,736,Salaried,9725,6,31,Approved
56150,660,Salaried,49924,8,21,Approved
32143,610,Self-Employed,83343,2,51,Rejected
59611,615,Self-Employed,67236,7,25,Rejected
99911,557,Salaried,17614,8,59,Approved
75627,698,Salaried,24958,8,41,Approved
122126,674,Salaried,86166,3,53,Approved
99428,647,Salaried,98029,4,36,Approved
72102,458,Salaried,76525,4,26,Rejected
102502,586,Salaried,14317,9,29,Approved
146291,764,Unemployed,63824,9,50,Approved
73535,630,Salaried,83776,4,53,Rejected
39947,707,Salaried,65819,10,33,Approved
73142,576,Salaried,61439,6,37,Approved
129215,788,Salaried,49399,4,63,Approved
48291,669,Self-Employed,28261,0,59,Rejected
143389,702,Salaried,31673,6,39,Approved
96480,850,Self-Employed,75839,7,31,Approved
98205,794,Self-Employed,11632,10,34,Approved
61215,657,Salaried,13025,7,45,Approved
139660,636,Self-Employed,42683,0,46,Approved
24687,656,Unemployed,78570,6,29,Rejected
58827,718,Salaried,67419,8,23,Approved
74392,672,Salaried,61049,5,43,Rejected
82046,650,Unemployed,55743,4,56,Rejected
81637,790,Self-Employed,15521,8,27,Approved
39230,671,Salaried,36520,6,39,Approved
49327,850,Salaried,12553,7,28,Approved
32381,687,Salaried,77025,5,31,Approved
94420,814,Self-Employed,76330,3,48,Approved
65613,707,Salaried,29519,5,33,Approved
93550,752,Salaried,32829,10,32,Approved
96663,626,Self-Employed,35158,6,65,Approved
111260,616,Unemployed,89484,7,28,Rejected
91115,714,Self-Employed,51410,1,29,Approved
104233,754,Salaried,77397,10,62,Approved
96330,683,Salaried,47639,2,45,Rejected
104816,584,Unemployed,71328,10,22,Approved
100164,578,Unemployed,55191,4,40,Rejected
61108,573,Salaried,31467,10,46,Rejected
52017,547,Self-Employed,88249,9,32,Rejected
122366,688,Salaried,72350,8,45,Approved
64551,764,Salaried,78087,10,50,Approved
91389,679,Salaried,95074,6,32,Approved
45606,510,Salaried,28633,9,57,Approved
76084,666,Salaried,13698,1,41,Approved
88856,668,Self-Employed,60316,0,64,Rejected
101382,837,Salaried,35985,5,24,Approved
88429,571,Salaried,46399,8,35,Approved
66885,651,Salaried,27294,8,53,Approved
145031,808,Salaried,42854,5,61,Approved
86656,714,Salaried,42359,5,30,Approved
